portal	name
Fusoxcub1	Fusarium_oxysporum_f._sp._cubense_tropical_race_4_54006_(II5)
Fusoxrad1	Fusarium_oxysporum_f._sp._radicis-lycopersici_26381_(CL57)
Fusoxrap1	Fusarium_oxysporum_f._sp._raphani_54005
Sphbr2	Sphaerosporella_brunnea_Sb_GMNB300_v2.0
Magor1	Magnaporthe_oryzae_70-15_v3.0
HyFL1150_1	Hypoxylon_sp._FL1150_v1.0
Xylni1	Xylaria_nigripes_YMJ_653_v1.0
Xy124048_1	Xylaria_sp._CBS_124048_v1.0
Hyparg1	Hypoxylon_argillaceum_CBS_527.63_v1.0
Xyldig1	Xylaria_digitata_CBS_161.22_v1.0
Phapa1	Phakopsora_pachyrhizi_MT2006_v1.0
LlaTMI1499_1	Lentinula_lateritia_TMI1499_v1.0
LedTMI1148_1	Lentinula_edodes_TMI1148_v1.0
LboTFB7829_1	Lentinula_afn._boryana_TFB7829_v1.0
LedVB361_1	Lentinula_edodes_VB361_v1.0
Psene1	Pseudoidium_neolycopersici_MF1_v1.0
Neobo1	Neocosmospora_boninensis_NRRL_22470_v1.0
Porpun1	Poronia_punctata_CBS_180.79_v1.0
Annmae1	Annulohypoxylon_maeteangense_CBS_123835_v1.0
YarliW29	Yarrowia_lipolytica_PO1f_v1.0
YarliYlCW001	Yarrowia_lipolytica_YlCW001_v1.0
Daldec1	Daldinia_decipiens_CBS_113046_v1.0
Dales1	Daldinia_eschscholtzii_FL0578_v1.0
Dalcal1	Daldinia_caldariorum_CBS_122874_v1.0
Dalloc1	Daldinia_loculata_CBS_113971_v1.0
Bisma1	Biscogniauxia_marginata_CBS_124505_v1.0
Dalba1	Daldinia_bambusicola_CBS_122872_v1.0
Bisme1	Biscogniauxia_mediterranea_AZ0048_v1.0
Bismed1	Biscogniauxia_mediterranea_CBS_129072_v1.0
Resbic1	Resinicium_bicolor_OMC78_v1.0
Roster1	Rostrohypoxylon_terebratum_CBS_119137_v1.0
Whamic1	Whalleya_microplaca_YMJ1829_v1.0
Pseule1	Pseudocercospora_ulei_ERN8_v1.0
Pismi_AB1_1	Pisolithus_sp._B1_v1.0
Cont1119283	Clitocybe_sp._CONT_1119283_v1.0
Suisubl1	Suillus_cf._subluteus_FC464_v1.0
Suidis1	Suillus_discolor_FC423_v1.0
Chathe1	Chaetomium_thermophilum_var_thermophilum_DSM_1495
XylPMI703_1	Xylogone_sp._PMI_703_v1.0
OphPMI507_1	Ophiostoma_sp._PMI_507_v1.0
DiaPMI573_1	Diaporthaceae_sp._PMI_573_v1.0
MelPMI1271_1	Meliniomyces_sp._PMI_1271_v1.0
Rhoglu91_1	Rhodosporidium_glutinis_ATCC_204091_v1.0
Lbo_TFB10291_1	Lentinula_boryana_TFB10291_v1.0
LboET3784_1	Lentinula_boryana_ET3784_v1.0
Umbelo1	Umbelopsis_sp._PMI_123_v1.0
MecolCla_1	Melampsora_x_columbiana_Clatskanie_v1.0
Dicrob1	Dichotomocladium_robustum_RSA_2353+_v1.0
CtCBS203_1	Camillea_tinctor_CBS_203.56_v1.0
Armmel1	Armillaria_mellea_ELDO17_v1.0
Annnit1	Annulohypoxylon_nitens_CBS_120705_v1.0
Annmor1	Annulohypoxylon_moriforme_CBS_123579_v1.0
Annbov1	Annulohypoxylon_bovei_var._microspora_CBS_124037_v1.0
Annmin1	Annulohypoxylon_minutellum_CBS_135445_v1.0
Annsty1	Annulohypoxylon_stygium_FL0470_v1.0
Anntru1	Annulohypoxylon_truncatum_CBS_140777_v1.0
Led_CS584_1	Lentinula_edodes_CS-584_v1.0
Lbo_TFB10827_1	Lentinula_boryana_TFB10827_v1.0
Nemdif1	Nemania_diffusa_NC0034_v1.0
NsAK0226_1	Nemania_serpens_AK0226_v1.0
NeFL0916_1	Nemania_sp._FL0916_v1.0
NsCB679_1	Nemania_serpens_CBS_679.86_v1.0
KdCBS826_1	Kretzschmaria_deusta_CBS_826.72_v1.0
NsAZ0576_1	Nemania_serpens_AZ0576_v1.0
XyFL0641_1	Xylariomycetidae_sp._FL0641_v1.0
HyFL1857_1	Hypoxylon_sp._FL1857_v1.0
Theau2	Thermoascus_aurantiacus_ATCC26904_v2.0
XyFL1777_1	Xylaria_sp._FL1777_v1.0
Nemani1	Nemania_sp._NC0429_v1.0
DaFL1419_1	Daldinia_sp._FL1419_v1.0
Xylcube1	Xylaria_cubensis_CBS_116.85_v1.0
Xylacu1	Xylaria_acuta_CBS_122032_v1.0
Xyltel121673_1	Xylaria_telfairii_CBS_121673_v1.0
Xylpal124036_1	Xylaria_palmicola_CBS_124036_v1.0
Xylcur114988_1	Xylaria_curta_CBS_114988_v1.0
Xylcas124033_1	Xylaria_cf._castorea_CBS_124033_v1.0
Sorhu1	Sordaria_humana_MPI-SDFR-AT-0083_v1.0
Epini1	Epicoccum_nigrum_cont_1108929_v1.0
Plecucu1	Plectosphaerella_cucumerina_MPI-SDFR-AT-0117_v1.0
Chagl1	Chaetomium_globosum_MPI-SDFR-AT-0079_v1.0
Kurarg1	Kurtia_argillacea_OMC1749_v1.0
Rusear1	Russula_earlei_BPL698_v1.0
HyprubER1909_1	Hypoxylon_rubiginosum_ER1909_v1.0
Hyprub1	Hypoxylon_rubiginosum_CBS_119005_v1.0
Hypcro1	Hypoxylon_crocopeplum_CBS_119004_v1.0
Hypcer1	Hypoxylon_cercidicola_CBS_119009_v1.0
Hypfus1	Hypoxylon_fuscum_CBS_119018_v1.0
Hyptru1	Hypoxylon_trugodes_CBS_135444_v1.0
Xylbam139988_1	Xylaria_bambusicola_CBS_139988_v1.0
Xylint1	Xylaria_intraflava_YMJ_725_v1.0
Xyllon1	Xylaria_longipes_CBS_148.73_v1.0
Xylscr1	Xylaria_scruposa_CBS_123580_v1.0
Xylarb124340_1	Xylaria_arbuscula_CBS_124340_v1.0
Chabre1	Chaetocladium_brefeldii_NRRL_2343_v1.0
Mitdap1	Mitosporidium_daphniae_UGP3
LraJLM1587_1	Lentinula_raphanica_JLM1587_v1.0
LraTFB9207_1	Lentinula_raphanica_TFB9207_v1.0
MoeNVP64_1	Mortierella_elongata_NVP64_v1.0
TyphTRa3160C_1	Typhula_sp._TRa3160C_v1.0
AcreTS7_1	Acremonium_sp._TS7_v1.0
Rhiund1	Rhizina_undulata_CBS_300.56_v1.0
